Date Time, Speed, Direction, Direction, Gust, X, R 
2012-03-02 00:00,6.61,12.59,NNE,10.61,0,0
2012-03-02 00:06,7.40,12.00,NNE,11.00,0,0
2012-03-02 00:12,7.40,15.92,NNE,11.00,0,0
2012-03-02 00:18,6.90,11.00,N,10.50,0,0
2012-03-02 00:24,6.84,12.13,NNE,10.45,0,0
2012-03-02 00:30,7.15,15.73,NNE,10.50,0,0
2012-03-02 00:36,7.54,16.27,NNE,10.09,0,0
2012-03-02 00:42,8.16,17.34,NNE,11.80,0,0
2012-03-02 00:48,7.04,14.42,NNE,11.97,0,0
2012-03-02 00:54,8.30,17.00,NNE,11.50,0,0
2012-03-02 01:00,6.60,16.00,NNE,11.10,0,0
2012-03-02 01:06,7.89,15.40,NNE,11.07,0,0
2012-03-02 01:12,8.46,8.63,N,11.17,0,0
2012-03-02 01:18,7.05,10.66,N,11.86,0,0
2012-03-02 01:24,7.35,7.72,N,11.40,0,0
2012-03-02 01:30,8.60,9.00,N,12.50,0,0
2012-03-02 01:36,7.12,12.55,NNE,12.48,0,0
2012-03-02 01:42,7.13,13.85,NNE,11.02,0,0
2012-03-02 01:48,6.65,16.20,NNE,10.14,0,0
2012-03-02 01:54,6.50,18.00,NNE,9.90,0,0
2012-03-02 02:00,7.09,15.78,NNE,9.94,0,0
2012-03-02 02:06,7.56,16.84,NNE,11.36,0,0
2012-03-02 02:12,7.21,13.26,NNE,10.97,0,0
2012-03-02 02:18,7.23,16.86,NNE,9.73,0,0
2012-03-02 02:24,8.74,14.67,NNE,10.50,0,0
2012-03-02 02:30,5.80,14.00,NNE,10.00,0,0
2012-03-02 02:36,7.23,12.30,NNE,10.02,0,0
2012-03-02 02:42,7.78,14.91,NNE,11.08,0,0
2012-03-02 02:48,7.38,14.42,NNE,10.66,0,0
2012-03-02 02:54,6.57,15.48,NNE,10.81,0,0
2012-03-02 03:00,8.99,18.05,NNE,11.28,0,0
2012-03-02 03:06,7.23,20.37,NNE,12.11,0,0
2012-03-02 03:12,7.43,12.83,NNE,10.87,0,0
2012-03-02 03:18,7.30,17.00,NNE,11.10,0,0
2012-03-02 03:24,7.21,14.42,NNE,11.15,0,0
2012-03-02 03:30,7.40,15.00,NNE,10.90,0,0
2012-03-02 03:36,6.82,18.43,NNE,10.92,0,0
2012-03-02 03:42,7.90,24.00,NNE,10.80,0,0
2012-03-02 03:48,7.06,23.05,NNE,10.84,0,0
2012-03-02 03:54,7.94,21.37,NNE,11.99,0,0
2012-03-02 04:00,7.66,20.49,NNE,11.57,0,0
2012-03-02 04:06,8.13,17.93,NNE,12.61,0,0
2012-03-02 04:12,7.98,17.22,NNE,11.95,0,0
2012-03-02 04:18,8.10,26.00,NNE,10.80,0,0
2012-03-02 04:24,7.26,19.35,NNE,10.82,0,0
2012-03-02 04:30,8.70,24.00,NNE,11.00,0,0
2012-03-02 04:36,7.12,28.76,NNE,11.02,0,0
2012-03-02 04:42,7.10,23.00,NNE,9.90,0,0
2012-03-02 04:48,7.26,24.38,NNE,9.92,0,0
2012-03-02 04:54,6.45,26.80,NNE,9.32,0,0
2012-03-02 05:00,7.06,24.12,NNE,9.93,0,0
2012-03-02 05:06,5.10,27.00,NNE,8.60,0,0
2012-03-02 05:12,6.58,32.03,NNE,8.64,0,0
2012-03-02 05:18,8.10,29.00,NNE,9.80,0,0
2012-03-02 05:24,6.31,27.86,NNE,9.79,0,0
2012-03-02 05:30,7.10,25.00,NNE,9.80,0,0
2012-03-02 05:36,6.60,28.86,NNE,9.75,0,0
2012-03-02 05:42,6.47,27.57,NNE,8.32,0,0
2012-03-02 05:48,6.84,25.53,NNE,9.02,0,0
2012-03-02 05:54,6.88,24.36,NNE,10.61,0,0
2012-03-02 06:00,6.04,27.84,NNE,9.20,0,0
2012-03-02 06:06,7.10,29.00,NNE,8.30,0,0
2012-03-02 06:12,6.02,30.63,NNE,8.32,0,0
2012-03-02 06:18,5.10,27.00,NNE,9.70,0,0
2012-03-02 06:24,4.59,22.67,NNE,9.69,0,0
2012-03-02 06:30,5.60,22.00,NNE,8.00,0,0
2012-03-02 06:36,4.63,24.69,NNE,7.95,0,0
2012-03-02 06:42,6.23,27.46,NNE,9.14,0,0
2012-03-02 06:48,6.36,24.07,NNE,9.06,0,0
2012-03-02 06:54,5.90,25.00,NNE,8.80,0,0
2012-03-02 07:00,5.36,25.15,NNE,8.82,0,0
2012-03-02 07:06,6.10,23.00,NNE,8.60,0,0
2012-03-02 07:12,5.33,26.53,NNE,8.56,0,0
2012-03-02 07:18,7.20,25.00,NNE,9.10,0,0
2012-03-02 07:24,4.76,24.18,NNE,9.06,0,0
2012-03-02 07:30,5.70,24.06,NNE,7.53,0,0
2012-03-02 07:36,5.52,26.20,NNE,7.43,0,0
2012-03-02 07:42,5.70,25.00,NNE,8.70,0,0
2012-03-02 07:48,5.00,25.62,NNE,8.71,0,0
2012-03-02 07:54,6.06,27.73,NNE,8.36,0,0
2012-03-02 08:00,6.23,24.88,NNE,8.26,0,0
2012-03-02 08:06,5.00,19.00,NNE,8.40,0,0
2012-03-02 08:12,6.61,28.50,NNE,8.42,0,0
2012-03-02 08:18,6.36,28.52,NNE,8.88,0,0
2012-03-02 08:24,6.30,23.00,NNE,8.30,0,0
2012-03-02 08:30,5.41,28.13,NNE,8.32,0,0
2012-03-02 08:36,5.90,30.04,NNE,8.70,0,0
2012-03-02 08:42,4.60,28.00,NNE,7.70,0,0
2012-03-02 08:48,5.56,24.84,NNE,7.66,0,0
2012-03-02 08:54,4.05,26.39,NNE,7.73,0,0
2012-03-02 09:00,4.19,23.53,NNE,7.01,0,0
2012-03-02 09:06,4.83,27.94,NNE,6.45,0,0
2012-03-02 09:12,4.49,32.98,NNE,7.36,0,0
2012-03-02 09:18,4.36,24.61,NNE,7.59,0,0
2012-03-02 09:24,5.84,34.92,NE,7.85,0,0
2012-03-02 09:30,5.57,20.33,NNE,7.53,0,0
2012-03-02 09:36,4.47,21.97,NNE,6.26,0,0
2012-03-02 09:42,5.40,22.00,NNE,7.90,0,0
2012-03-02 09:48,5.50,18.36,NNE,7.92,0,0
2012-03-02 09:54,5.40,19.00,NNE,8.00,0,0
2012-03-02 10:00,4.40,26.28,NNE,8.00,0,0
2012-03-02 10:06,5.15,23.19,NNE,7.09,0,0
2012-03-02 10:12,5.08,30.34,NNE,7.51,0,0
2012-03-02 10:18,4.53,27.14,NNE,7.80,0,0
2012-03-02 10:24,4.78,15.22,NNE,6.96,0,0
2012-03-02 10:30,4.70,25.00,NNE,7.30,0,0
2012-03-02 10:36,5.10,28.00,NNE,7.00,0,0
2012-03-02 10:42,4.80,21.00,NNE,6.90,0,0
2012-03-02 10:48,5.06,28.58,NNE,6.94,0,0
2012-03-02 10:54,4.50,31.00,NNE,7.50,0,0
2012-03-02 11:00,5.26,25.54,NNE,7.47,0,0
2012-03-02 11:06,4.67,30.39,NNE,7.14,0,0
2012-03-02 11:12,5.16,21.48,NNE,6.54,0,0
2012-03-02 11:18,4.28,19.85,NNE,6.31,0,0
2012-03-02 11:24,4.13,24.99,NNE,6.31,0,0
2012-03-02 11:30,4.54,24.47,NNE,6.51,0,0
2012-03-02 11:36,4.80,26.14,NNE,6.40,0,0
2012-03-02 11:42,4.10,28.00,NNE,7.20,0,0
2012-03-02 11:48,4.73,33.37,NNE,7.23,0,0
2012-03-02 11:54,4.70,25.00,NNE,5.80,0,0
2012-03-02 12:00,4.43,29.22,NNE,5.82,0,0
2012-03-02 12:06,5.00,20.83,NNE,6.34,0,0
2012-03-02 12:12,5.55,21.07,NNE,7.23,0,0
2012-03-02 12:18,4.27,28.70,NNE,6.51,0,0
2012-03-02 12:24,3.80,27.00,NNE,6.00,0,0
2012-03-02 12:30,4.90,11.00,N,6.50,0,0
2012-03-02 12:36,3.90,24.23,NNE,6.50,0,0
2012-03-02 12:42,4.16,22.57,NNE,5.71,0,0
2012-03-02 12:48,5.07,34.92,NE,6.63,0,0
2012-03-02 12:54,4.86,43.18,NE,6.30,0,0
2012-03-02 13:00,4.86,25.08,NNE,6.31,0,0
2012-03-02 13:06,4.30,30.00,NNE,7.20,0,0
2012-03-02 13:12,4.02,34.09,NE,7.20,0,0
2012-03-02 13:18,4.26,31.30,NNE,5.99,0,0
2012-03-02 13:24,4.25,41.68,NE,6.29,0,0
2012-03-02 13:30,5.00,48.75,NE,6.35,0,0
2012-03-02 13:36,4.70,47.32,NE,6.47,0,0
2012-03-02 13:42,3.70,47.42,NE,5.78,0,0
2012-03-02 13:48,4.51,35.99,NE,6.72,0,0
2012-03-02 13:54,3.02,40.55,NE,5.92,0,0
2012-03-02 14:00,4.50,42.81,NE,6.20,0,0
2012-03-02 14:06,3.50,43.00,NE,4.90,0,0
2012-03-02 14:12,3.25,38.00,NE,4.88,0,0
2012-03-02 14:18,3.44,15.07,NNE,5.58,0,0
2012-03-02 14:24,3.66,37.25,NE,5.56,0,0
2012-03-02 14:30,3.03,20.74,NNE,5.28,0,0
2012-03-02 14:36,3.40,16.00,NNE,5.50,0,0
2012-03-02 14:42,3.98,35.63,NE,5.52,0,0
2012-03-02 14:48,3.37,33.33,NNE,6.06,0,0
2012-03-02 14:54,3.52,36.85,NE,5.77,0,0
2012-03-02 15:00,3.40,23.61,NNE,4.99,0,0
2012-03-02 15:06,4.20,23.00,NNE,5.30,0,0
2012-03-02 15:12,4.30,37.11,NE,5.34,0,0
2012-03-02 15:18,4.00,36.00,NE,5.50,0,0
2012-03-02 15:24,4.00,28.84,NNE,5.51,0,0
2012-03-02 15:30,3.60,35.50,NE,4.94,0,0
2012-03-02 15:36,3.24,33.92,NE,5.23,0,0
2012-03-02 15:42,2.90,49.15,NE,4.91,0,0
2012-03-02 15:48,2.50,44.00,NE,5.50,0,0
2012-03-02 15:54,4.30,44.00,NE,5.10,0,0
2012-03-02 16:00,2.05,23.92,NNE,5.11,0,0
2012-03-02 16:06,1.40,74.00,ENE,4.30,0,0
2012-03-02 16:12,1.23,70.21,ENE,4.32,0,0
2012-03-02 16:18,1.40,88.00,E,4.30,0,0
2012-03-02 16:24,2.84,69.66,ENE,4.30,0,0
2012-03-02 16:30,1.68,53.53,NE,3.71,0,0
2012-03-02 16:36,2.39,53.99,NE,4.02,0,0
2012-03-02 16:42,2.41,49.71,NE,3.26,0,0
2012-03-02 16:48,1.65,28.34,NNE,3.20,0,0
2012-03-02 16:54,2.00,63.00,ENE,3.10,0,0
2012-03-02 17:00,1.90,79.69,E,3.11,0,0
2012-03-02 17:06,2.70,20.00,NNE,3.90,0,0
2012-03-02 17:12,2.98,40.26,NE,3.87,0,0
2012-03-02 17:18,2.76,25.31,NNE,3.51,0,0
2012-03-02 17:24,2.49,27.23,NNE,3.54,0,0
2012-03-02 17:30,2.38,16.56,NNE,3.49,0,0
2012-03-02 17:36,2.50,7.02,N,3.31,0,0
2012-03-02 17:42,2.47,18.49,NNE,3.97,0,0
2012-03-02 17:48,2.93,6.81,N,3.65,0,0
2012-03-02 17:54,2.10,9.00,N,3.50,0,0
2012-03-02 18:00,2.44,9.18,N,3.48,0,0
2012-03-02 18:06,2.02,340.08,NNW,2.63,0,0
2012-03-02 18:12,1.42,24.28,NNE,2.54,0,0
2012-03-02 18:18,2.01,333.03,NNW,2.84,0,0
2012-03-02 18:24,1.93,335.99,NNW,2.76,0,0
2012-03-02 18:30,1.74,358.32,N,2.44,0,0
2012-03-02 18:36,1.76,321.09,NW,2.55,0,0
2012-03-02 18:42,1.60,322.00,NW,1.90,0,0
2012-03-02 18:48,1.21,356.59,N,1.95,0,0
2012-03-02 18:54,1.10,311.00,NW,1.80,0,0
2012-03-02 19:00,1.08,359.95,N,1.85,0,0
2012-03-02 19:06,1.04,0.82,N,2.08,0,0
2012-03-02 19:12,0.73,355.90,N,1.30,0,0
2012-03-02 19:18,0.31,354.28,N,1.11,0,0
2012-03-02 19:24,0.29,45.04,NE,0.79,0,0
2012-03-02 19:30,0.17,307.89,NW,0.74,0,0
2012-03-02 19:36,0.53,280.34,W,1.13,0,0
2012-03-02 19:42,0.30,300.00,WNW,1.20,0,0
2012-03-02 19:48,0.17,322.45,NW,1.21,0,0
2012-03-02 19:54,0.97,344.19,NNW,1.31,0,0
2012-03-02 20:00,0.14,2.92,N,1.35,0,0
2012-03-02 20:06,0.31,312.40,NW,0.42,0,0
2012-03-02 20:12,1.02,295.26,WNW,1.26,0,0
2012-03-02 20:18,1.76,157.19,SSE,2.39,0,0
2012-03-02 20:24,0.22,277.78,W,2.16,0,0
2012-03-02 20:30,2.54,96.36,E,3.07,0,0
2012-03-02 20:36,1.30,133.00,SE,2.00,0,0
2012-03-02 20:42,1.16,153.49,SSE,2.05,0,0
2012-03-02 20:48,1.88,162.78,SSE,2.88,0,0
2012-03-02 20:54,1.38,183.84,S,3.92,0,0
2012-03-02 21:00,2.20,150.04,SSE,3.71,0,0
2012-03-02 21:06,1.64,126.38,SE,3.25,0,0
2012-03-02 21:12,2.58,102.08,ESE,3.53,0,0
2012-03-02 21:18,1.93,105.97,ESE,3.09,0,0
2012-03-02 21:24,2.17,93.15,E,3.14,0,0
2012-03-02 21:30,2.77,118.26,ESE,3.44,0,0
2012-03-02 21:36,3.19,126.19,SE,3.82,0,0
2012-03-02 21:42,2.21,108.12,ESE,3.56,0,0
2012-03-02 21:48,1.49,133.49,SE,3.13,0,0
2012-03-02 21:54,2.60,136.30,SE,3.29,0,0
2012-03-02 22:00,1.32,154.06,SSE,3.79,0,0
2012-03-02 22:06,2.30,151.85,SSE,2.93,0,0
2012-03-02 22:12,1.62,137.13,SE,2.84,0,0
2012-03-02 22:18,2.81,119.61,ESE,3.21,0,0
2012-03-02 22:24,2.33,131.94,SE,3.42,0,0
2012-03-02 22:30,2.62,115.34,ESE,3.21,0,0
2012-03-02 22:36,2.36,124.12,SE,3.49,0,0
2012-03-02 22:42,2.58,115.55,ESE,2.97,0,0
2012-03-02 22:48,1.94,98.63,E,3.03,0,0
2012-03-02 22:54,2.32,118.53,ESE,3.03,0,0
2012-03-02 23:00,2.18,125.70,SE,3.65,0,0
2012-03-02 23:06,2.57,125.50,SE,3.02,0,0
2012-03-02 23:12,2.09,107.53,ESE,3.06,0,0
2012-03-02 23:18,2.84,121.20,ESE,3.40,0,0
2012-03-02 23:24,2.57,108.61,ESE,3.76,0,0
2012-03-02 23:30,2.49,120.16,ESE,3.92,0,0
2012-03-02 23:36,2.85,117.04,ESE,3.26,0,0
2012-03-02 23:42,2.30,120.00,ESE,2.90,0,0
2012-03-02 23:48,2.07,116.54,ESE,2.92,0,0
2012-03-02 23:54,2.54,119.39,ESE,3.44,0,0
2012-03-03 00:00,2.36,121.10,ESE,3.52,0,0
2012-03-03 00:06,2.50,141.00,SE,3.90,0,0
2012-03-03 00:12,2.84,129.41,SE,3.93,0,0
2012-03-03 00:18,1.95,145.50,SE,3.08,0,0
2012-03-03 00:24,2.90,147.93,SSE,4.06,0,0
2012-03-03 00:30,4.13,153.68,SSE,4.80,0,0
2012-03-03 00:36,3.00,157.92,SSE,5.53,0,0
2012-03-03 00:42,3.40,167.00,SSE,6.00,0,0
2012-03-03 00:48,4.67,172.06,S,5.99,0,0
2012-03-03 00:54,4.55,157.88,SSE,7.21,0,0
2012-03-03 01:00,3.80,157.79,SSE,5.06,0,0
2012-03-03 01:06,3.67,157.41,SSE,5.66,0,0
2012-03-03 01:12,4.06,141.49,SE,5.04,0,0
2012-03-03 01:18,3.97,144.34,SE,5.43,0,0
2012-03-03 01:24,3.44,141.77,SE,5.12,0,0
2012-03-03 01:30,3.00,138.00,SE,5.40,0,0
2012-03-03 01:36,3.39,123.86,SE,5.35,0,0
2012-03-03 01:42,4.43,123.49,ESE,5.53,0,0
2012-03-03 01:48,2.79,121.23,ESE,5.40,0,0
2012-03-03 01:54,3.82,127.30,SE,5.79,0,0
2012-03-03 02:00,4.63,134.55,SE,6.11,0,0
2012-03-03 02:06,3.37,134.70,SE,5.52,0,0
2012-03-03 02:12,3.17,135.83,SE,6.06,0,0
2012-03-03 02:18,4.10,133.00,SE,4.70,0,0
2012-03-03 02:24,4.20,138.00,SE,5.90,0,0
2012-03-03 02:30,3.20,133.00,SE,5.60,0,0
2012-03-03 02:36,3.77,126.74,SE,5.60,0,0
2012-03-03 02:42,3.86,133.79,SE,6.24,0,0
2012-03-03 02:48,4.76,126.11,SE,5.76,0,0
2012-03-03 02:54,4.39,124.14,SE,6.24,0,0
2012-03-03 03:00,4.92,130.40,SE,6.19,0,0
2012-03-03 03:06,4.88,141.74,SE,6.57,0,0
2012-03-03 03:12,4.96,145.40,SE,7.07,0,0
2012-03-03 03:18,5.50,144.00,SE,6.90,0,0
2012-03-03 03:24,4.35,141.01,SE,6.91,0,0
2012-03-03 03:30,4.80,133.00,SE,7.20,0,0
2012-03-03 03:36,5.48,140.88,SE,7.16,0,0
2012-03-03 03:42,4.34,152.13,SSE,7.93,0,0
2012-03-03 03:48,5.36,155.69,SSE,8.19,0,0
2012-03-03 03:54,5.07,153.46,SSE,8.19,0,0
2012-03-03 04:00,7.24,164.11,SSE,9.43,0,0
2012-03-03 04:06,7.00,157.00,SSE,10.60,0,0
2012-03-03 04:12,7.16,161.26,SSE,10.59,0,0
2012-03-03 04:18,7.20,160.00,SSE,9.50,0,0
2012-03-03 04:24,6.91,161.96,SSE,9.54,0,0
2012-03-03 04:30,5.60,155.00,SSE,9.50,0,0
2012-03-03 04:36,7.54,160.41,SSE,9.47,0,0
2012-03-03 04:42,7.13,155.33,SSE,10.34,0,0
2012-03-03 04:48,6.36,168.31,SSE,8.24,0,0
2012-03-03 04:54,6.51,168.28,SSE,10.08,0,0
2012-03-03 05:00,6.27,155.32,SSE,10.32,0,0
2012-03-03 05:06,6.30,151.00,SSE,11.00,0,0
2012-03-03 05:12,6.93,154.80,SSE,11.02,0,0
2012-03-03 05:18,6.70,156.00,SSE,11.20,0,0
2012-03-03 05:24,6.30,158.00,SSE,10.00,0,0
2012-03-03 05:30,8.02,146.34,SSE,9.98,0,0
2012-03-03 05:36,7.25,157.62,SSE,11.25,0,0
2012-03-03 05:42,6.61,156.25,SSE,9.56,0,0
2012-03-03 05:48,7.57,151.47,SSE,9.46,0,0
2012-03-03 05:54,7.60,156.00,SSE,10.30,0,0
2012-03-03 06:00,8.62,150.25,SSE,10.32,0,0
2012-03-03 06:06,7.76,153.84,SSE,11.55,0,0
2012-03-03 06:12,7.82,148.51,SSE,10.31,0,0
2012-03-03 06:18,7.25,140.95,SE,10.95,0,0
2012-03-03 06:24,6.13,147.22,SSE,9.21,0,0
2012-03-03 06:30,7.60,152.00,SSE,9.60,0,0
2012-03-03 06:36,6.10,144.80,SE,9.64,0,0
2012-03-03 06:42,6.60,145.00,SE,11.50,0,0
2012-03-03 06:48,6.02,139.70,SE,11.46,0,0
2012-03-03 06:54,7.70,143.00,SE,9.80,0,0
2012-03-03 07:00,6.46,140.87,SE,9.80,0,0
2012-03-03 07:06,6.68,138.62,SE,10.29,0,0
2012-03-03 07:12,6.34,147.65,SSE,9.88,0,0
2012-03-03 07:18,8.39,138.98,SE,9.74,0,0
2012-03-03 07:24,7.34,139.40,SE,10.50,0,0
2012-03-03 07:30,7.58,145.37,SE,10.96,0,0
2012-03-03 07:36,8.62,142.85,SE,10.89,0,0
2012-03-03 07:42,8.70,144.00,SE,10.50,0,0
2012-03-03 07:48,7.86,141.73,SE,10.46,0,0
2012-03-03 07:54,7.20,146.00,SE,10.10,0,0
2012-03-03 08:00,8.21,147.21,SSE,10.13,0,0
2012-03-03 08:06,8.11,144.55,SE,11.19,0,0
2012-03-03 08:12,8.17,149.77,SSE,12.88,0,0
2012-03-03 08:18,8.75,143.74,SE,11.91,0,0
2012-03-03 08:24,6.71,141.44,SE,12.28,0,0
2012-03-03 08:30,8.90,146.00,SE,11.10,0,0
2012-03-03 08:36,6.80,147.00,SSE,11.60,0,0
2012-03-03 08:42,7.32,145.04,SE,11.61,0,0
2012-03-03 08:48,8.32,142.32,SE,11.45,0,0
2012-03-03 08:54,7.32,142.97,SE,10.98,0,0
2012-03-03 09:00,7.95,145.50,SE,11.04,0,0
2012-03-03 09:06,8.39,146.80,SSE,12.00,0,0
2012-03-03 09:12,9.04,141.68,SE,14.11,0,0
2012-03-03 09:18,7.00,145.00,SE,9.70,0,0
2012-03-03 09:24,7.40,146.00,SE,10.80,0,0
2012-03-03 09:30,8.20,141.00,SE,10.30,0,0
2012-03-03 09:36,8.10,141.00,SE,10.50,0,0
2012-03-03 09:42,7.76,142.36,SE,10.47,0,0
2012-03-03 09:48,8.12,143.69,SE,10.11,0,0
2012-03-03 09:54,8.96,139.69,SE,12.27,0,0
2012-03-03 10:00,8.50,143.00,SE,11.50,0,0
2012-03-03 10:06,8.20,139.00,SE,12.50,0,0
2012-03-03 10:12,8.70,140.00,SE,12.40,0,0
2012-03-03 10:18,7.90,141.00,SE,11.60,0,0
2012-03-03 10:24,7.27,138.25,SE,11.60,0,0
2012-03-03 10:30,8.00,140.00,SE,10.60,0,0
2012-03-03 10:36,8.66,140.70,SE,10.63,0,0
2012-03-03 10:42,8.23,136.26,SE,11.07,0,0
2012-03-03 10:48,8.10,140.40,SE,11.43,0,0
2012-03-03 10:54,6.09,132.55,SE,9.79,0,0
2012-03-03 11:00,6.46,132.86,SE,10.92,0,0
2012-03-03 11:06,7.41,129.93,SE,9.01,0,0
2012-03-03 11:12,7.98,131.50,SE,11.02,0,0
2012-03-03 11:18,7.90,136.00,SE,11.10,0,0
2012-03-03 11:24,8.95,131.50,SE,11.14,0,0
2012-03-03 11:30,7.00,119.00,ESE,10.70,0,0
2012-03-03 11:36,8.05,129.98,SE,10.68,0,0
2012-03-03 11:42,9.28,131.65,SE,12.25,0,0
2012-03-03 11:48,8.23,133.79,SE,12.47,0,0
2012-03-03 11:54,6.94,140.76,SE,9.85,0,0
2012-03-03 12:00,6.12,134.88,SE,9.59,0,0
2012-03-03 12:06,6.00,131.00,SE,9.10,0,0
2012-03-03 12:12,5.67,126.90,SE,9.12,0,0
2012-03-03 12:18,5.40,142.00,SE,6.90,0,0
2012-03-03 12:24,4.93,129.80,SE,6.91,0,0
2012-03-03 12:30,6.24,137.68,SE,8.60,0,0
2012-03-03 12:36,6.58,137.62,SE,8.74,0,0
2012-03-03 12:42,5.93,131.99,SE,8.46,0,0
2012-03-03 12:48,7.43,133.05,SE,9.73,0,0
2012-03-03 12:54,6.93,137.25,SE,9.31,0,0
2012-03-03 13:00,5.94,133.81,SE,8.40,0,0
2012-03-03 13:06,6.46,129.96,SE,9.16,0,0
2012-03-03 13:12,7.52,131.37,SE,8.31,0,0
2012-03-03 13:18,7.10,126.00,SE,9.20,0,0
2012-03-03 13:24,5.78,133.44,SE,9.16,0,0
2012-03-03 13:30,6.24,129.21,SE,9.70,0,0
2012-03-03 13:36,6.23,139.44,SE,8.02,0,0
2012-03-03 13:42,6.66,128.34,SE,8.71,0,0
2012-03-03 13:48,6.15,133.63,SE,8.02,0,0
2012-03-03 13:54,5.48,134.99,SE,9.11,0,0
2012-03-03 14:00,5.95,134.53,SE,7.92,0,0
2012-03-03 14:06,5.06,138.24,SE,7.70,0,0
2012-03-03 14:12,5.56,139.57,SE,7.24,0,0
2012-03-03 14:18,5.00,141.00,SE,6.80,0,0
2012-03-03 14:24,4.34,146.45,SSE,6.77,0,0
2012-03-03 14:30,4.10,149.78,SSE,6.28,0,0
2012-03-03 14:36,2.78,157.82,SSE,4.50,0,0
2012-03-03 14:42,2.69,167.15,SSE,3.84,0,0
2012-03-03 14:48,2.57,184.05,S,3.56,0,0
2012-03-03 14:54,3.31,195.84,SSW,4.04,0,0
2012-03-03 15:00,3.64,198.07,SSW,4.36,0,0
2012-03-03 15:06,4.34,205.84,SSW,4.91,0,0
2012-03-03 15:12,4.53,216.58,SW,5.46,0,0
2012-03-03 15:18,4.83,220.37,SW,5.56,0,0
2012-03-03 15:24,4.96,227.17,SW,5.63,0,0
2012-03-03 15:30,4.96,233.02,SW,6.17,0,0
2012-03-03 15:36,4.87,233.76,SW,5.46,0,0
2012-03-03 15:42,5.13,231.88,SW,5.58,0,0
2012-03-03 15:48,5.40,229.00,SW,6.30,0,0
2012-03-03 15:54,5.82,230.16,SW,6.35,0,0
2012-03-03 16:00,5.56,233.76,SW,6.66,0,0
2012-03-03 16:06,5.74,233.79,SW,6.54,0,0
2012-03-03 16:12,6.44,235.44,SW,7.16,0,0
2012-03-03 16:18,6.54,236.82,WSW,7.58,0,0
2012-03-03 16:24,6.73,235.85,SW,7.60,0,0
2012-03-03 16:30,6.70,237.00,WSW,7.70,0,0
2012-03-03 16:36,6.24,241.86,WSW,7.66,0,0
2012-03-03 16:42,5.30,242.00,WSW,6.10,0,0
2012-03-03 16:48,5.11,241.92,WSW,6.14,0,0
2012-03-03 16:54,4.86,236.72,WSW,5.96,0,0
2012-03-03 17:00,5.14,236.91,WSW,5.39,0,0
2012-03-03 17:06,5.98,234.47,SW,6.80,0,0
2012-03-03 17:12,6.13,239.42,WSW,7.40,0,0
2012-03-03 17:18,6.25,241.16,WSW,7.60,0,0
2012-03-03 17:24,5.80,238.68,WSW,7.34,0,0
2012-03-03 17:30,5.90,243.00,WSW,7.20,0,0
2012-03-03 17:36,5.90,244.27,WSW,7.19,0,0
2012-03-03 17:42,5.77,240.49,WSW,7.24,0,0
2012-03-03 17:48,5.78,240.69,WSW,7.09,0,0
2012-03-03 17:54,5.18,238.37,WSW,6.76,0,0
2012-03-03 18:00,4.78,224.32,SW,6.01,0,0
2012-03-03 18:06,4.06,233.64,SW,5.18,0,0
2012-03-03 18:12,4.20,229.08,SW,5.33,0,0
2012-03-03 18:18,3.80,230.00,SW,4.70,0,0
2012-03-03 18:24,4.40,234.99,SW,4.66,0,0
2012-03-03 18:30,4.44,245.65,WSW,5.73,0,0
2012-03-03 18:36,4.86,243.00,WSW,5.52,0,0
2012-03-03 18:42,6.05,240.92,WSW,6.58,0,0
2012-03-03 18:48,5.31,240.44,WSW,6.60,0,0
2012-03-03 18:54,5.24,235.15,SW,6.27,0,0
2012-03-03 19:00,5.20,228.29,SW,6.10,0,0
2012-03-03 19:06,5.48,232.89,SW,6.23,0,0
2012-03-03 19:12,6.07,231.55,SW,6.73,0,0
2012-03-03 19:18,6.88,236.90,WSW,7.75,0,0
2012-03-03 19:24,6.80,243.00,WSW,7.70,0,0
2012-03-03 19:30,6.10,245.28,WSW,7.68,0,0
2012-03-03 19:36,5.46,240.72,WSW,6.90,0,0
2012-03-03 19:42,5.50,241.00,WSW,6.60,0,0
2012-03-03 19:48,5.68,240.97,WSW,6.64,0,0
2012-03-03 19:54,5.56,241.50,WSW,6.59,0,0
2012-03-03 20:00,5.67,238.88,WSW,6.40,0,0
2012-03-03 20:06,5.60,237.00,WSW,7.50,0,0
2012-03-03 20:12,6.24,239.02,WSW,7.46,0,0
2012-03-03 20:18,6.90,237.86,WSW,8.49,0,0
2012-03-03 20:24,6.76,242.12,WSW,7.87,0,0
2012-03-03 20:30,6.63,246.99,WSW,8.52,0,0
2012-03-03 20:36,6.80,241.24,WSW,8.03,0,0
2012-03-03 20:42,6.06,238.70,WSW,7.63,0,0
2012-03-03 20:48,6.41,238.75,WSW,7.48,0,0
2012-03-03 20:54,7.13,240.88,WSW,7.82,0,0
2012-03-03 21:00,7.11,241.53,WSW,8.36,0,0
2012-03-03 21:06,6.20,240.00,WSW,7.80,0,0
2012-03-03 21:12,6.62,242.80,WSW,7.76,0,0
2012-03-03 21:18,6.33,247.11,WSW,7.13,0,0
2012-03-03 21:24,6.24,246.35,WSW,7.42,0,0
2012-03-03 21:30,5.58,253.05,WSW,6.99,0,0
2012-03-03 21:36,6.62,251.67,WSW,7.57,0,0
